x,y,z,time
0.778455,-0.321790,-0.241077,6927883245697.000000
0.003186,0.143372,0.722168,6928082795749.000000
0.969617,0.608533,2.018884,6928282997989.000000
-0.086023,0.472595,0.728540,6928482834864.000000
-1.543103,-0.642517,-2.934338,6928683043562.000000
-0.942004,-0.429053,-1.055640,6928883191947.000000
0.442859,-0.169922,0.183728,6929084292572.000000
0.505518,0.168860,1.578149,6929284599499.000000
0.449231,0.574548,1.552661,6929489780436.000000
-0.589417,0.031860,-0.654199,6929684127884.000000
-1.036523,-0.473657,-2.171814,6929884300228.000000
-0.262317,-0.039294,-0.473657,6930084618249.000000
0.555432,-0.016992,0.089209,6930284961061.000000
1.009973,0.305859,1.348755,6930484949446.000000
0.726416,0.293115,0.846423,6930685178144.000000
-0.771021,0.094519,-0.727478,6930885358821.000000
0.641455,-0.510828,-1.000415,6931087435436.000000
0.790137,-0.450293,-0.786951,6931285815175.000000
-0.029736,0.335596,0.883594,6931486896217.000000
1.195825,-0.029736,1.495313,6931686327936.000000
0.234705,0.207092,0.258069,6931886999810.000000
-0.673315,-0.262317,-1.662048,6932086777206.000000
-1.045020,-0.003186,0.120007,6932286913456.000000
0.443921,-0.169922,-0.290991,6932487166321.000000
-0.744470,0.116821,0.044604,6932687384081.000000
0.888904,-0.005310,1.367871,6932887512518.000000
0.159302,0.090271,-0.215588,6933087841529.000000
-0.174170,-0.439673,-1.179895,6933287984914.000000
-0.059473,-0.333472,-0.348340,6933488198299.000000
1.156531,-0.207092,-0.116821,6933688432779.000000
1.321143,0.396130,1.297778,6933888676216.000000
0.298425,0.574548,1.136353,6934088891164.000000
-0.896338,-0.333472,-1.450708,6934289107570.000000
-1.417786,0.042480,-0.544812,6934489290434.000000
0.083899,-0.179480,-0.584106,6934691343716.000000
-0.499146,0.382324,0.759338,6934889689966.000000
1.032275,0.358960,1.811792,6935090029601.000000
0.067969,0.644641,0.606409,6935291146476.000000
-0.962183,-0.962183,-3.074524,6935492126528.000000
-1.076880,-0.427991,-0.925012,6935690589705.000000
0.755090,0.025488,-0.092395,6935890737934.000000
2.354480,0.454541,1.886133,6936091087986.000000
0.936694,0.930322,2.280139,6936291419548.000000
-0.600037,-0.286743,-1.166089,6936491681840.000000
-0.258069,-0.570300,-2.258899,6936692462569.000000
-0.476843,-0.224084,-0.777393,6936897927465.000000
-0.096643,0.207092,0.991919,6937093890381.000000
1.268042,0.742346,2.412891,6937292773923.000000
0.095581,0.731726,1.272290,6937492573090.000000
-1.161841,-0.574548,-2.984253,6937692767569.000000
-1.321143,-0.305859,-1.107678,6937892951162.000000
0.302673,-0.128503,-0.076465,6938093249808.000000
1.279724,0.155054,1.769312,6938294126527.000000
0.859168,0.475781,0.919702,6938494044079.000000
-0.324976,0.091333,-0.349402,6938694508610.000000
0.248511,-0.285681,-0.821997,6938894638662.000000
-0.301611,-0.128503,-0.425867,6939094382360.000000
-0.264441,0.151868,0.385510,6939294529651.000000
0.851733,0.130627,1.212817,6939494887308.000000
0.269751,0.369580,0.322852,6939694978714.000000
-0.867664,-0.131689,-1.316895,6939895379235.000000
-0.884656,-0.242139,-0.272937,6940095660328.000000
0.614905,-0.129565,-0.178418,6940296423818.000000
1.180957,-0.101953,0.985547,6940495843193.000000
0.725354,0.386572,1.033337,6940696267151.000000
-0.103015,0.193286,-0.316480,6940896869651.000000
-0.519324,-0.706238,-1.725769,6941096964807.000000
-0.606409,-0.191162,-0.315417,6941298591630.000000
0.441797,-0.090271,-0.036108,6941496897098.000000
1.131042,0.416309,1.642932,6941697139338.000000
0.357898,0.438611,0.448169,6941898132411.000000
