x,y,z,time
0.622492,1.316811,8.791509,4503891604311.000000
0.593762,0.986411,9.701305,4503931672436.000000
1.838747,1.623269,11.587936,4503993244936.000000
1.666364,0.612916,10.448297,4504032016343.000000
2.217031,1.345541,11.042058,4504053024728.000000
2.853889,1.915361,10.649409,4504091849780.000000
1.450886,1.910573,9.246407,4504111985145.000000
-0.004788,2.015918,8.906430,4504152670353.000000
-0.608127,1.498770,8.983045,4504172424103.000000
-0.651223,1.862689,7.805098,4504211643530.000000
-0.526724,2.193089,7.393295,4504232622280.000000
-0.450110,1.096544,7.359776,4504272468999.000000
-0.459687,1.063026,7.661446,4504292630197.000000
-0.215478,1.987187,7.560889,4504352868270.000000
-0.282516,2.063802,8.106767,4504372610093.000000
-0.387861,2.628834,8.331821,4504412035092.000000
-1.019930,2.671929,8.327033,4504433467072.000000
-0.507571,1.201889,11.870452,4504632716915.000000
-1.154005,0.497994,9.931149,4504672737072.000000
-0.933739,-0.435745,10.596737,4504712896290.000000
-0.560243,-0.124498,10.156203,4504732780978.000000
-0.766145,0.450110,9.265560,4504753426447.000000
-0.550666,0.967257,8.183381,4504793174207.000000
-0.684742,0.948104,7.881712,4504832860144.000000
-1.283292,1.024718,7.824251,4504873169728.000000
-1.867477,0.689530,8.073248,4504932764467.000000
-2.039860,0.991199,8.614338,4504972792957.000000
-1.795651,1.063026,8.839393,4504994565353.000000
-1.599327,1.039083,9.203311,4505033258842.000000
-1.383849,1.053449,9.504981,4505052923217.000000
-0.483629,1.029507,10.271125,4505092934519.000000
-0.210690,0.579397,11.793838,4505172884832.000000
0.598550,-1.819593,13.105860,4505212947748.000000
0.349553,-0.847547,12.014104,4505233986863.000000
1.814805,-0.641646,11.602302,4505275015978.000000
0.378284,0.292093,9.002198,4505353776446.000000
-0.023942,-0.019154,8.552089,4505393764780.000000
-0.062249,-0.162806,8.389283,4505433624675.000000
-0.138864,-0.349553,7.857770,4505453429571.000000
-0.287304,-0.248997,7.747637,4505493073738.000000
-0.167594,-0.253785,7.920019,4505514135196.000000
-0.407014,-0.555455,8.259995,4505533394311.000000
-0.526724,-0.402226,8.145074,4505554221082.000000
-0.258574,0.172383,9.672575,4505613513738.000000
0.383072,0.857124,11.066000,4505693398529.000000
1.048660,0.292093,12.291832,4505714535925.000000
1.034295,-0.383072,12.440272,4505733601290.000000
-1.096544,0.387861,9.380483,4505773486290.000000
-0.790087,-0.660800,10.347740,4505795390925.000000
-0.253785,-1.953669,11.439496,4505813760092.000000
0.967257,-0.622492,9.902418,4505874242436.000000
1.235408,-0.244209,9.227253,4505894074259.000000
-0.004788,0.043096,8.437167,4505933640248.000000
-0.225055,0.397437,8.154651,4505955205873.000000
-0.349553,0.617704,7.838616,4505973961029.000000
-0.464475,0.842759,7.771579,4506053931811.000000
-1.364695,1.005565,7.953538,4506094021290.000000
-1.920150,1.187524,8.058883,4506114512696.000000
-1.963245,1.321599,8.322245,4506155381654.000000
-2.513912,1.130063,8.384495,4506194798321.000000
-1.422156,1.297657,9.758766,4506234536133.000000
-1.264138,1.412579,9.844957,4506254057071.000000
-1.206678,1.407791,9.543288,4506274568008.000000
-0.268151,1.197101,13.225570,4506334152123.000000
-0.766145,0.469264,12.703634,4506354662592.000000
0.229843,-0.138864,13.881581,4506374190352.000000
-0.679953,1.872266,10.405201,4506454084623.000000
-1.517924,1.407791,8.446744,4506494595717.000000
-2.035071,1.733402,7.575254,4506514658217.000000
