x,time
98.000000,4675405007579.000000
97.000000,4676565965027.000000
97.000000,4677409434349.000000
97.000000,4678403181380.000000
97.000000,4679467349713.000000
98.000000,4680438411952.000000
98.000000,4681438322004.000000
98.000000,4682499933670.000000
98.000000,4683470820962.000000
98.000000,4684565924034.000000
99.000000,4685502302263.000000
99.000000,4686520823721.000000
100.000000,4687436989866.000000
100.000000,4688404415231.000000
100.000000,4689499948772.000000
100.000000,4690467872886.000000
100.000000,4691492428927.000000
100.000000,4692441124240.000000
99.000000,4694314467103.000000
101.000000,4695370422103.000000
101.000000,4696486610384.000000
101.000000,4697353921946.000000
101.000000,4698355572466.000000
101.000000,4699354865383.000000
101.000000,4700353170747.000000
102.000000,4701385423403.000000
102.000000,4702354826423.000000
102.000000,4703429311683.000000
103.000000,4704363693870.000000
103.000000,4706233422463.000000
103.000000,4707263978140.000000
103.000000,4708305128140.000000
101.000000,4709336832931.000000
101.000000,4710306207358.000000
101.000000,4711339443555.000000
101.000000,4712306046524.000000
101.000000,4713304656002.000000
102.000000,4714336127929.000000
102.000000,4715311076366.000000
101.000000,4716307234543.000000
101.000000,4717306174230.000000
101.000000,4718312258396.000000
101.000000,4719271332667.000000
101.000000,4720274061937.000000
101.000000,4721337877458.000000
102.000000,4722372487822.000000
102.000000,4723306613551.000000
102.000000,4724305324852.000000
101.000000,4725306684852.000000
102.000000,4726336111883.000000
102.000000,4727307029226.000000
102.000000,4728303781361.000000
102.000000,4729430579173.000000
101.000000,4730302802506.000000
101.000000,4731303881985.000000
101.000000,4732301064537.000000
101.000000,4733303214849.000000
102.000000,4734343446255.000000
102.000000,4735336411098.000000
102.000000,4736238231567.000000
102.000000,4737309639118.000000
102.000000,4738333563910.000000
102.000000,4739303677607.000000
103.000000,4740301855888.000000
103.000000,4741267209481.000000
103.000000,4742300168335.000000
103.000000,4743232523387.000000
103.000000,4744528898803.000000
103.000000,4745330161615.000000
103.000000,4746267207240.000000
103.000000,4747293771146.000000
104.000000,4748300497864.000000
103.000000,4749365803697.000000
103.000000,4750364822030.000000
104.000000,4751273150102.000000
105.000000,4752370673904.000000
104.000000,4753270214112.000000
102.000000,4754316458591.000000
102.000000,4755334749424.000000
101.000000,4756332216142.000000
101.000000,4757298376402.000000
101.000000,4758331890464.000000
102.000000,4759398787964.000000
101.000000,4760332258120.000000
102.000000,4761300106974.000000
102.000000,4762329196817.000000
102.000000,4763360203848.000000
102.000000,4764269565670.000000
102.000000,4765367857805.000000
103.000000,4766298288586.000000
103.000000,4767332354888.000000
103.000000,4768262227804.000000
104.000000,4769369578012.000000
104.000000,4770333592699.000000
104.000000,4771336251241.000000
103.000000,4772366501501.000000
103.000000,4774356335198.000000
103.000000,4775263355093.000000
102.000000,4776428953635.000000
102.000000,4777336848634.000000
102.000000,4778304091238.000000
101.000000,4779303612175.000000
101.000000,4780303663060.000000
100.000000,4781300835195.000000
100.000000,4782338658059.000000
101.000000,4783372236080.000000
101.000000,4784366386079.000000
102.000000,4785305174673.000000
102.000000,4786369861235.000000
102.000000,4787305025037.000000
102.000000,4788335353838.000000
102.000000,4789269629255.000000
102.000000,4790402948004.000000
102.000000,4791338358368.000000
102.000000,4792302144201.000000
102.000000,4793337767170.000000
102.000000,4794301415190.000000
102.000000,4795311947117.000000
102.000000,4797276907481.000000
102.000000,4798185776022.000000
99.000000,4799304134667.000000
99.000000,4800227171542.000000
99.000000,4801228745500.000000
