x,time
2.000000,4619231496403.000000
2.000000,4619481573382.000000
2.000000,4620174399319.000000
2.000000,4620571346194.000000
2.000000,4621264722652.000000
2.000000,4621711631402.000000
2.000000,4622355942027.000000
2.000000,4622803367183.000000
2.000000,4623448858276.000000
2.000000,4623895886609.000000
2.000000,4624540345672.000000
2.000000,4624790037963.000000
2.000000,4625042825203.000000
2.000000,4625340988067.000000
2.000000,4625589588692.000000
2.000000,4625843929161.000000
2.000000,4626095970879.000000
2.000000,4626345117598.000000
2.000000,4626692021973.000000
2.000000,4626941200619.000000
2.000000,4627239652910.000000
2.000000,4627587547181.000000
2.000000,4627837102545.000000
2.000000,4628087504785.000000
2.000000,4628336840358.000000
2.000000,4628979812493.000000
2.000000,4629231504889.000000
2.000000,4629481354107.000000
2.000000,4630026470357.000000
2.000000,4630276000774.000000
2.000000,4630525179628.000000
2.000000,4630827287232.000000
2.000000,4631076115513.000000
2.000000,4631325873169.000000
2.000000,4631574757075.000000
2.000000,4631823052388.000000
2.000000,4632122266190.000000
2.000000,4632370672283.000000
2.000000,4632718453585.000000
2.000000,4632968640981.000000
2.000000,4633267124418.000000
2.000000,4633515614002.000000
2.000000,4633767354887.000000
2.000000,4634065820616.000000
2.000000,4634372010928.000000
2.000000,4634620735928.000000
2.000000,4634919342386.000000
2.000000,4635513596397.000000
2.000000,4635762235563.000000
2.000000,4636012748011.000000
2.000000,4636508618428.000000
2.000000,4636760424521.000000
2.000000,4637256594365.000000
2.000000,4637653080510.000000
2.000000,4637901909156.000000
2.000000,4638299430718.000000
2.000000,4638547904260.000000
2.000000,4638846377125.000000
2.000000,4639144973062.000000
2.000000,4639442660874.000000
2.000000,4639938164728.000000
2.000000,4640482536863.000000
2.000000,4641076071186.000000
2.000000,4641571417071.000000
2.000000,4642066312227.000000
2.000000,4642660703217.000000
2.000000,4643255485665.000000
2.000000,4643702638581.000000
2.000000,4644001069935.000000
2.000000,4644250794258.000000
2.000000,4644794954101.000000
2.000000,4645142197018.000000
2.000000,4645391710351.000000
2.000000,4645887664205.000000
2.000000,4646432761445.000000
2.000000,4646881442017.000000
2.000000,4647477641184.000000
2.000000,4647726399517.000000
2.000000,4648024849829.000000
2.000000,4648619002069.000000
2.000000,4649215706912.000000
2.000000,4649908093266.000000
2.000000,4650304646339.000000
2.000000,4651148516026.000000
2.000000,4651447034880.000000
2.000000,4652237818734.000000
2.000000,4652585311807.000000
2.000000,4653228321598.000000
2.000000,4653576294931.000000
2.000000,4654367609931.000000
2.000000,4654714922691.000000
2.000000,4655505982639.000000
2.000000,4655853025139.000000
2.000000,4656594577899.000000
2.000000,4656990896597.000000
2.000000,4657535485711.000000
2.000000,4658030626648.000000
2.000000,4658576961075.000000
2.000000,4659023487534.000000
2.000000,4659323555658.000000
2.000000,4667207407843.000000
2.000000,4667702641541.000000
2.000000,4668247190342.000000
2.000000,4668496272269.000000
2.000000,4668745239613.000000
2.000000,4669339915238.000000
2.000000,4669786730446.000000
2.000000,4670333473467.000000
2.000000,4670582746279.000000
2.000000,4670931529039.000000
2.000000,4671626549508.000000
2.000000,4671974824612.000000
2.000000,4672667779403.000000
2.000000,4673066108778.000000
2.000000,4673709034663.000000
2.000000,4674157143882.000000
2.000000,4674455670340.000000
