x,time
116.000000,6928264686270.000000
112.000000,6929267930176.000000
104.000000,6930220251686.000000
99.000000,6931301510800.000000
96.000000,6932233562206.000000
94.000000,6933277870331.000000
91.000000,6934174672049.000000
92.000000,6935246050695.000000
93.000000,6936181229913.000000
94.000000,6937214990590.000000
111.000000,6938202922360.000000
103.000000,6939239631162.000000
98.000000,6940238938193.000000
93.000000,6941239354859.000000
89.000000,6942174860484.000000
85.000000,6943174653556.000000
81.000000,6944222991004.000000
81.000000,6945215901107.000000
83.000000,6946156743243.000000
82.000000,6947177485950.000000
83.000000,6948178365065.000000
85.000000,6949212148866.000000
84.000000,6950162124179.000000
85.000000,6951262221261.000000
89.000000,6952247035480.000000
92.000000,6953231762042.000000
95.000000,6954172965271.000000
96.000000,6956144966520.000000
98.000000,6957087819540.000000
99.000000,6958092261311.000000
99.000000,6959136194123.000000
101.000000,6960229596466.000000
101.000000,6961165629487.000000
102.000000,6962102339226.000000
101.000000,6963196627403.000000
101.000000,6964196244486.000000
101.000000,6965231701048.000000
102.000000,6966197164433.000000
101.000000,6967166417037.000000
101.000000,6968168209067.000000
101.000000,6969098878859.000000
100.000000,6970201195265.000000
100.000000,6971140300264.000000
99.000000,6972172937556.000000
94.000000,6973218499482.000000
92.000000,6974237715471.000000
90.000000,6975138204013.000000
90.000000,6976143198804.000000
90.000000,6977176244793.000000
90.000000,6978173911199.000000
90.000000,6979183793542.000000
90.000000,6980179547813.000000
89.000000,6981119154740.000000
90.000000,6982278586875.000000
89.000000,6983215523958.000000
90.000000,6984177114009.000000
89.000000,6985146463592.000000
90.000000,6986259352863.000000
90.000000,6987142454894.000000
90.000000,6988113216299.000000
90.000000,6989213121091.000000
90.000000,6990145273174.000000
90.000000,6991154896507.000000
90.000000,6993026960048.000000
90.000000,6994063042808.000000
91.000000,6995070596088.000000
91.000000,6996102808901.000000
92.000000,6997103985306.000000
92.000000,6998172687441.000000
92.000000,6999109068170.000000
93.000000,7000135256243.000000
95.000000,7001203930982.000000
97.000000,7002037542544.000000
97.000000,7003238307231.000000
100.000000,7004039376814.000000
103.000000,7005107135043.000000
104.000000,7006096951293.000000
106.000000,7007074530198.000000
107.000000,7008172833063.000000
107.000000,7009042361552.000000
108.000000,7010076755718.000000
108.000000,7011081200301.000000
107.000000,7012122025197.000000
107.000000,7013143729311.000000
107.000000,7014211801654.000000
107.000000,7015116813164.000000
107.000000,7016182944622.000000
107.000000,7017083069205.000000
108.000000,7018156941340.000000
108.000000,7019186574361.000000
108.000000,7020223480454.000000
108.000000,7021086235401.000000
108.000000,7022086895349.000000
109.000000,7023216158578.000000
109.000000,7024084822171.000000
109.000000,7025181898525.000000
110.000000,7026153674983.000000
110.000000,7027154449305.000000
109.000000,7028119701701.000000
109.000000,7029086811596.000000
109.000000,7030158355763.000000
109.000000,7032103655189.000000
108.000000,7033080677324.000000
108.000000,7034119969563.000000
108.000000,7035110899250.000000
108.000000,7036021014979.000000
108.000000,7037282914145.000000
107.000000,7038057182322.000000
106.000000,7039090293728.000000
107.000000,7040036443050.000000
107.000000,7041024818727.000000
107.000000,7042157315185.000000
107.000000,7043023058726.000000
107.000000,7044105538570.000000
108.000000,7045122110913.000000
107.000000,7046093303100.000000
108.000000,7047158256225.000000
107.000000,7048027941277.000000
108.000000,7049094225599.000000
108.000000,7050161238203.000000
108.000000,7051092709192.000000
108.000000,7052163031900.000000
108.000000,7053063911796.000000
107.000000,7054109687941.000000
107.000000,7055035399295.000000
105.000000,7056066918930.000000
104.000000,7057945841585.000000
104.000000,7059044615908.000000
104.000000,7060018862366.000000
104.000000,7061087557938.000000
104.000000,7062052961740.000000
103.000000,7063054871323.000000
103.000000,7063987697885.000000
103.000000,7064956456687.000000
103.000000,7066023476791.000000
104.000000,7066988918040.000000
105.000000,7068074900019.000000
106.000000,7068957762623.000000
107.000000,7070091474029.000000
107.000000,7070999084445.000000
106.000000,7071981212361.000000
107.000000,7072992503767.000000
107.000000,7073992538402.000000
107.000000,7075057774964.000000
107.000000,7075991398610.000000
107.000000,7077092526891.000000
108.000000,7078093504234.000000
108.000000,7079068605536.000000
108.000000,7079960928869.000000
108.000000,7080971570222.000000
107.000000,7082029986003.000000
107.000000,7083031209440.000000
107.000000,7084025280482.000000
107.000000,7085881845377.000000
107.000000,7086922312616.000000
107.000000,7087956872355.000000
108.000000,7088963157928.000000
108.000000,7090126898083.000000
107.000000,7090964448448.000000
107.000000,7091964024906.000000
106.000000,7092969215322.000000
106.000000,7093965782197.000000
107.000000,7094994785842.000000
108.000000,7095998013654.000000
109.000000,7097054196831.000000
110.000000,7097967656466.000000
111.000000,7098999692768.000000
109.000000,7100014848392.000000
109.000000,7101000287298.000000
110.000000,7102065134798.000000
110.000000,7103002715474.000000
110.000000,7104034344016.000000
110.000000,7105071095317.000000
108.000000,7106040942609.000000
107.000000,7106974373650.000000
107.000000,7108032145889.000000
106.000000,7108971920993.000000
106.000000,7109972195784.000000
105.000000,7110971042190.000000
105.000000,7112070356252.000000
103.000000,7113054329898.000000
103.000000,7114008326824.000000
103.000000,7114972460939.000000
102.000000,7116007592240.000000
102.000000,7117009679948.000000
102.000000,7118013956719.000000
103.000000,7119105880781.000000
102.000000,7120007622551.000000
101.000000,7121014689634.000000
101.000000,7122009210415.000000
100.000000,7123044754477.000000
100.000000,7124084806039.000000
100.000000,7125012883851.000000
100.000000,7125953607028.000000
99.000000,7126989692601.000000
99.000000,7128049417704.000000
99.000000,7129049072808.000000
99.000000,7129988105933.000000
